         1                     -0.6358842                      0.0000654
         2                     -0.6358842                      0.0000660
         4                     -0.6358842                      0.0000631
         8                     -0.6358842                      0.0000644
        16                     -0.6358777                      0.0000655
        32                     -0.6358650                      0.0000761
        64                     -0.6358721                      0.0000650
       128                     -0.6358820                      0.0000504
       256                     -0.6358844                      0.0000223
       512                     -0.6358850                      0.0000240
